Timestamp,Noise (dB),Light (lux),Temperature (C)
2021-01-01 00:01:15,59.6,2.07,25.65
2021-01-01 00:01:35,53.95,2.19,25.62
2021-01-01 00:01:55,97.51,2.19,25.61
2021-01-01 00:02:16,82.6,2.19,25.58
2021-01-01 00:02:36,55.73,2.19,25.58
2021-01-01 00:02:56,73.34,2.07,25.59
2021-01-01 00:03:17,66.85,2.13,25.59
2021-01-01 00:03:37,54.72,2.07,25.62
2021-01-01 00:03:57,53.47,2.13,25.63
2021-01-01 00:04:18,54.84,2.19,25.66
2021-01-01 00:04:38,52.59,1.96,25.58
2021-01-01 00:04:58,55.36,2.13,25.57
2021-01-01 00:05:19,53.79,2.19,25.59
2021-01-01 00:05:39,57.26,2.19,25.55
2021-01-01 00:05:59,53.31,2.19,25.46
2021-01-01 00:06:19,54.8,2.19,25.54
2021-01-01 00:06:40,53.03,2.19,25.6
2021-01-01 00:07:00,63.42,2.19,25.55
2021-01-01 00:07:20,56.41,2.19,25.49
2021-01-01 00:07:41,56.05,2.19,25.41
2021-01-01 00:08:02,56.66,2.19,25.46
2021-01-01 00:08:22,52.14,2.19,25.59
2021-01-01 00:08:43,55.89,2.19,25.55
2021-01-01 00:09:03,55.93,2.19,25.47
2021-01-01 00:09:23,55.85,2.19,25.48
2021-01-01 00:09:43,54.36,2.19,25.44
2021-01-01 00:10:03,55.2,2.19,25.4
2021-01-01 00:10:24,53.23,2.19,25.48
2021-01-01 00:10:44,54.28,2.19,25.57
2021-01-01 00:11:04,54.16,2.19,25.36
2021-01-01 00:11:25,52.75,2.19,25.46
2021-01-01 00:11:45,53.07,2.19,25.47
2021-01-01 00:12:05,53.15,2.19,25.43
2021-01-01 00:12:25,57.91,2.19,25.41
2021-01-01 00:12:46,53.27,2.19,25.38
2021-01-01 00:13:06,55.16,2.19,25.46
2021-01-01 00:13:26,53.07,2.19,25.47
2021-01-01 00:13:46,54.2,2.19,25.44
2021-01-01 00:14:06,55.65,2.19,25.42
2021-01-01 00:14:27,56.46,2.19,25.39
2021-01-01 00:14:47,51.7,2.19,25.39
2021-01-01 00:15:07,54.76,2.19,25.41
2021-01-01 00:15:28,52.63,2.19,25.42
2021-01-01 00:15:48,51.18,2.19,25.33
2021-01-01 00:16:08,53.07,2.19,25.44
2021-01-01 00:16:28,52.67,2.13,25.47
2021-01-01 00:16:48,57.34,2.19,25.46
2021-01-01 00:17:09,54.6,2.19,25.5
2021-01-01 00:17:29,56.58,2.19,25.44
2021-01-01 00:17:49,54.16,2.19,25.5
2021-01-01 00:18:09,55.04,2.19,25.48
2021-01-01 00:18:30,55.61,2.19,25.49
2021-01-01 00:18:50,54.68,2.13,25.49
2021-01-01 00:19:10,56.13,2.19,25.45
2021-01-01 00:19:30,51.3,2.13,25.52
2021-01-01 00:19:51,52.67,2.19,25.49
2021-01-01 00:20:11,55.0,2.19,25.54
2021-01-01 00:20:31,54.84,2.13,25.52
2021-01-01 00:20:51,52.38,2.19,25.56
2021-01-01 00:21:12,56.9,2.19,25.57
2021-01-01 00:21:32,52.59,2.19,25.55
2021-01-01 00:21:52,54.56,2.19,25.56
2021-01-01 00:22:12,52.42,2.19,25.58
2021-01-01 00:22:33,53.51,2.19,25.59
2021-01-01 00:22:53,52.22,2.13,25.59
2021-01-01 00:23:13,50.97,2.19,25.6
2021-01-01 00:23:33,55.85,2.19,25.58
2021-01-01 00:23:54,51.14,2.19,25.62
2021-01-01 00:24:14,51.98,2.13,25.62
2021-01-01 00:24:34,53.63,2.19,25.6
2021-01-01 00:24:54,54.36,2.19,25.63
2021-01-01 00:25:15,52.91,2.19,25.62
2021-01-01 00:25:35,51.54,2.13,25.62
2021-01-01 00:25:55,52.26,2.19,25.63
2021-01-01 00:26:15,54.16,2.13,25.66
2021-01-01 00:26:36,50.89,2.19,25.61
2021-01-01 00:26:56,55.28,2.13,25.66
2021-01-01 00:27:16,56.98,2.19,25.6
2021-01-01 00:27:36,52.34,2.13,25.62
2021-01-01 00:27:57,53.11,2.19,25.65
2021-01-01 00:28:17,56.7,2.19,25.66
2021-01-01 00:28:37,56.66,2.13,25.64
2021-01-01 00:28:57,54.28,2.13,25.66
2021-01-01 00:29:17,56.09,2.13,25.66
2021-01-01 00:29:38,54.4,2.19,25.68
2021-01-01 00:29:58,54.12,2.13,25.66
2021-01-01 00:30:18,52.83,2.13,25.68
2021-01-01 00:30:38,56.21,2.13,25.67
2021-01-01 00:30:59,56.05,2.19,25.68
2021-01-01 00:31:19,53.35,2.13,25.68
2021-01-01 00:31:39,52.59,2.13,25.69
2021-01-01 00:31:59,55.16,2.13,25.7
2021-01-01 00:32:19,54.76,2.13,25.7
2021-01-01 00:32:40,50.77,2.13,25.7
2021-01-01 00:33:00,53.35,2.19,25.7
2021-01-01 00:33:20,54.92,2.13,25.69
2021-01-01 00:33:40,56.13,2.13,25.67
2021-01-01 00:34:01,55.32,2.13,25.7
2021-01-01 00:34:21,51.18,2.13,25.69
2021-01-01 00:34:41,54.52,2.07,25.7
2021-01-01 00:35:02,57.38,2.13,25.71
2021-01-01 00:35:22,55.08,2.13,25.7
2021-01-01 00:35:42,55.08,2.13,25.73
2021-01-01 00:36:02,52.54,2.13,25.7
2021-01-01 00:36:23,57.26,2.13,25.71
2021-01-01 00:36:43,55.04,2.13,25.69
2021-01-01 00:37:03,54.04,2.13,25.71
2021-01-01 00:37:24,53.07,2.13,25.72
2021-01-01 00:37:44,53.95,2.13,25.73
2021-01-01 00:38:04,51.94,2.13,25.72
2021-01-01 00:38:24,50.77,2.13,25.72
2021-01-01 00:38:45,52.22,2.13,25.73
2021-01-01 00:39:05,55.81,2.13,25.72
2021-01-01 00:39:25,55.65,2.13,25.73
2021-01-01 00:39:45,53.03,2.13,25.73
2021-01-01 00:40:05,51.74,2.13,25.73
2021-01-01 00:40:26,52.02,2.13,25.73
2021-01-01 00:40:46,50.13,2.13,25.72
2021-01-01 00:41:06,54.2,2.13,25.74
2021-01-01 00:41:26,51.38,2.13,25.74
2021-01-01 00:41:47,50.89,2.13,25.75
2021-01-01 00:42:07,53.87,2.13,25.73
2021-01-01 00:42:27,54.04,2.13,25.73
2021-01-01 00:42:47,53.79,2.13,25.74
2021-01-01 00:43:07,53.31,2.13,25.74
2021-01-01 00:43:28,52.34,2.13,25.74
2021-01-01 00:43:48,54.32,2.13,25.76
2021-01-01 00:44:08,51.74,2.13,25.76
2021-01-01 00:44:28,53.83,2.13,25.76
2021-01-01 00:44:48,55.77,2.13,25.76
2021-01-01 00:45:09,55.32,2.13,25.76
2021-01-01 00:45:29,53.07,2.13,25.76
2021-01-01 00:45:49,53.95,2.13,25.77
2021-01-01 00:46:09,52.71,2.13,25.76
2021-01-01 00:46:30,53.07,2.13,25.76
2021-01-01 00:46:50,53.79,2.13,25.76
2021-01-01 00:47:10,54.08,2.13,25.76
2021-01-01 00:47:30,55.65,2.13,25.77
2021-01-01 00:47:50,53.11,2.13,25.77
2021-01-01 00:48:11,55.77,2.13,25.77
2021-01-01 00:48:31,54.44,2.13,25.75
2021-01-01 00:48:51,55.49,2.13,25.76
2021-01-01 00:49:11,54.4,2.19,25.77
2021-01-01 00:49:32,53.95,2.07,25.75
2021-01-01 00:49:52,54.48,2.07,25.76
2021-01-01 00:50:12,52.14,2.13,25.77
2021-01-01 00:50:32,51.78,2.13,25.77
2021-01-01 00:50:53,54.8,2.13,25.76
2021-01-01 00:51:13,53.43,2.13,25.76
2021-01-01 00:51:33,51.22,2.13,25.77
2021-01-01 00:51:53,55.85,2.13,25.75
2021-01-01 00:52:14,56.25,2.13,25.75
2021-01-01 00:52:34,52.22,2.13,25.75
2021-01-01 00:52:54,54.68,2.13,25.75
2021-01-01 00:53:15,55.97,2.07,25.74
2021-01-01 00:53:35,55.85,2.07,25.73
2021-01-01 00:53:55,54.44,2.13,25.73
